,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_drop,param_model,param_replacement,param_scaling,param_selection,params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_auc_roc,split1_test_auc_roc,split2_test_auc_roc,split3_test_auc_roc,split4_test_auc_roc,split5_test_auc_roc,split6_test_auc_roc,split7_test_auc_roc,split8_test_auc_roc,split9_test_auc_roc,mean_test_auc_roc,std_test_auc_roc,rank_test_auc_roc,param_samplers,param_kus__kw_args
0,0.0077420234680175785,0.0004712261786216907,0.0034827947616577148,6.345361217475326e-05,FunctionTransformer(),LogisticRegression(),SimpleImputer(),MinMaxScaler(),FunctionTransformer(),"{'drop': FunctionTransformer(), 'model': LogisticRegression(), 'replacement': SimpleImputer(), 'scaling': MinMaxScaler(), 'selection': FunctionTransformer()}",0.5193798449612403,0.5377358490566038,0.5658914728682171,0.5980392156862745,0.6129032258064516,0.6101694915254238,0.5526315789473685,0.6,0.5636363636363636,0.5904761904761905,0.5750863232964133,0.030435921909877737,6,0.4036144578313253,0.3433734939759036,0.4397590361445783,0.3674698795180723,0.3433734939759036,0.43373493975903615,0.3795180722891566,0.45180722891566266,0.3712574850299401,0.3712574850299401,0.3905165572469519,0.03749617090910191,8,0.4542372881355932,0.41911764705882354,0.4949152542372881,0.45522388059701496,0.44015444015444016,0.5070422535211268,0.45,0.5154639175257733,0.44765342960288806,0.4558823529411765,0.4639690463774125,0.029565837482966612,8,0.6962264150943396,0.7018867924528301,0.7188679245283018,0.7245283018867924,0.7264150943396226,0.7358490566037735,0.7094339622641509,0.7339622641509433,0.7113207547169811,0.720754716981132,0.7179245283018867,0.012437096979378863,6,0.6166423937508275,0.6043790546802595,0.6429564411492122,0.6274162584403549,0.6222361975374023,0.6536806566927049,0.6197040910896333,0.6572222957765127,0.6195130400356312,0.626400092377229,0.6290150521529767,0.01609579842930694,6,,
1,0.005008101463317871,0.0002513649747909147,0.003421187400817871,8.540034027051947e-05,FunctionTransformer(),LogisticRegression(),SimpleImputer(),StandardScaler(),FunctionTransformer(),"{'drop': FunctionTransformer(), 'model': LogisticRegression(), 'replacement': SimpleImputer(), 'scaling': StandardScaler(), 'selection': FunctionTransformer()}",0.5193798449612403,0.5454545454545454,0.5648854961832062,0.6,0.6288659793814433,0.6065573770491803,0.5526315789473685,0.6046511627906976,0.5675675675675675,0.5849056603773585,0.5774899212712608,0.031720898938193826,5,0.4036144578313253,0.3614457831325301,0.4457831325301205,0.3795180722891566,0.3674698795180723,0.4457831325301205,0.3795180722891566,0.46987951807228917,0.3772455089820359,0.3712574850299401,0.4001515042204747,0.037169512231546076,7,0.4542372881355932,0.4347826086956521,0.49831649831649827,0.46494464944649444,0.4638783269961977,0.513888888888889,0.45,0.5288135593220339,0.4532374100719424,0.4542124542124542,0.47163116840857555,0.029398089239681537,5,0.6962264150943396,0.7056603773584905,0.7188679245283018,0.7264150943396226,0.7339622641509433,0.7358490566037735,0.7094339622641509,0.7377358490566037,0.7132075471698113,0.7188679245283018,0.7196226415094339,0.01315894020691524,4,0.6166423937508275,0.6120415728849464,0.644594862968357,0.6320667284522706,0.6342843903084867,0.6569575003309943,0.6197040910896333,0.6648848139811996,0.6225070520116791,0.6250226819089095,0.6328706087687304,0.016687555152939886,3,,
2,0.24661533832550048,0.007054124545818982,0.016003060340881347,0.00017123756311398944,FunctionTransformer(),RandomForestClassifier(random_state=42),SimpleImputer(),MinMaxScaler(),FunctionTransformer(),"{'drop': FunctionTransformer(), 'model': RandomForestClassifier(random_state=42), 'replacement': SimpleImputer(), 'scaling': MinMaxScaler(), 'selection': FunctionTransformer()}",0.48,0.5112781954887218,0.5328947368421053,0.4797297297297297,0.6,0.5121951219512195,0.5714285714285714,0.4772727272727273,0.5079365079365079,0.5035460992907801,0.5176281689940363,0.038412856651331935,9,0.43373493975903615,0.40963855421686746,0.4879518072289157,0.42771084337349397,0.46987951807228917,0.5060240963855421,0.40963855421686746,0.3795180722891566,0.38323353293413176,0.4251497005988024,0.43324796190751036,0.04028694381783939,3,0.45569620253164556,0.45484949832775917,0.5094339622641509,0.4522292993630573,0.5270270270270271,0.509090909090909,0.47719298245614034,0.4228187919463087,0.43686006825938567,0.461038961038961,0.4706237702305344,0.032461704023446544,6,0.6754716981132075,0.6924528301886792,0.7056603773584905,0.6754716981132075,0.7358490566037735,0.6943396226415094,0.7188679245283018,0.6754716981132075,0.6886792452830188,0.6867924528301886,0.6949056603773586,0.019000477781555287,9,0.6097246127366609,0.6155335628227194,0.6464484310869854,0.6080861909175161,0.6635111876075732,0.6431219383026613,0.6347643320534887,0.5949788163643586,0.6062173174312532,0.616156117517032,0.6238542506840249,0.02072454799428781,9,,
3,0.2647531032562256,0.03978677493020063,0.017419028282165527,0.0027298433017212058,FunctionTransformer(),RandomForestClassifier(random_state=42),SimpleImputer(),StandardScaler(),FunctionTransformer(),"{'drop': FunctionTransformer(), 'model': RandomForestClassifier(random_state=42), 'replacement': SimpleImputer(), 'scaling': StandardScaler(), 'selection': FunctionTransformer()}",0.47333333333333333,0.5149253731343284,0.5197368421052632,0.4797297297297297,0.5923076923076923,0.503030303030303,0.5714285714285714,0.484375,0.5039370078740157,0.5036496350364964,0.5146453487979734,0.03673463809150461,10,0.42771084337349397,0.41566265060240964,0.4759036144578313,0.42771084337349397,0.463855421686747,0.5,0.40963855421686746,0.37349397590361444,0.38323353293413176,0.41317365269461076,0.42903830892432,0.03799719805923255,4,0.4493670886075949,0.46,0.49685534591194963,0.4522292993630573,0.5202702702702702,0.5015105740181269,0.47719298245614034,0.4217687074829932,0.43537414965986393,0.45394736842105265,0.4668515786191049,0.02969553549045474,7,0.6716981132075471,0.6943396226415094,0.6981132075471698,0.6754716981132075,0.7320754716981132,0.6886792452830188,0.7188679245283018,0.6792452830188679,0.6867924528301886,0.6867924528301886,0.6932075471698113,0.01808173366145047,10,0.6053389381702635,0.6185456110154905,0.6376770819541904,0.6080861909175161,0.6591255130411756,0.6373626373626374,0.6347643320534887,0.5960876472924665,0.6048399069629337,0.6129229145015753,0.6214750773271738,0.018845923016166034,10,,
4,0.016953635215759277,0.000515326137469213,0.002618718147277832,9.484745667304772e-05,FunctionTransformer(),LinearSVC(),SimpleImputer(),MinMaxScaler(),FunctionTransformer(),"{'drop': FunctionTransformer(), 'model': LinearSVC(), 'replacement': SimpleImputer(), 'scaling': MinMaxScaler(), 'selection': FunctionTransformer()}",0.5275590551181102,0.5490196078431373,0.5703125,0.6122448979591837,0.6162790697674418,0.6101694915254238,0.5585585585585585,0.6065573770491803,0.5566037735849056,0.5865384615384616,0.5793842792944404,0.0297004395215676,4,0.4036144578313253,0.3373493975903614,0.4397590361445783,0.3614457831325301,0.3192771084337349,0.43373493975903615,0.37349397590361444,0.4457831325301205,0.3532934131736527,0.3652694610778443,0.38330207055767984,0.04249443953311047,10,0.45733788395904434,0.417910447761194,0.4965986394557823,0.4545454545454545,0.42063492063492064,0.5070422535211268,0.447653429602888,0.513888888888889,0.43223443223443225,0.45018450184501846,0.459803085244875,0.03291465628681315,10,0.7,0.7056603773584905,0.720754716981132,0.7283018867924528,0.7245283018867924,0.7358490566037735,0.7113207547169811,0.7358490566037735,0.7075471698113207,0.7188679245283018,0.7188679245283017,0.011903253053273584,5,0.6193896464980803,0.6054878856083675,0.6443300675228385,0.628525089368463,0.6143088838871972,0.6536806566927049,0.6194392956441149,0.6569575003309943,0.611908414575807,0.6234060804011812,0.6277433520529749,0.01698831985831418,7,,
5,0.03961050510406494,0.00738348864600116,0.002710127830505371,0.0001575031263454064,FunctionTransformer(),LinearSVC(),SimpleImputer(),StandardScaler(),FunctionTransformer(),"{'drop': FunctionTransformer(), 'model': LinearSVC(), 'replacement': SimpleImputer(), 'scaling': StandardScaler(), 'selection': FunctionTransformer()}",0.53125,0.5588235294117647,0.5703125,0.6122448979591837,0.6206896551724138,0.6101694915254238,0.5585585585585585,0.6097560975609756,0.5607476635514018,0.5865384615384616,0.5819090855278184,0.028716809328013602,3,0.40963855421686746,0.3433734939759036,0.4397590361445783,0.3614457831325301,0.3253012048192771,0.43373493975903615,0.37349397590361444,0.45180722891566266,0.3592814371257485,0.3652694610778443,0.38631051150710627,0.04178681214571265,9,0.4625850340136054,0.42537313432835816,0.4965986394557823,0.4545454545454545,0.42687747035573126,0.5070422535211268,0.447653429602888,0.5190311418685121,0.437956204379562,0.45018450184501846,0.46278472639160384,0.031665169696531346,9,0.7018867924528301,0.7094339622641509,0.720754716981132,0.7283018867924528,0.7264150943396226,0.7358490566037735,0.7113207547169811,0.7377358490566037,0.7094339622641509,0.7188679245283018,0.72,0.011420940339940795,3,0.6224016946908514,0.609873560174765,0.6443300675228385,0.628525089368463,0.6173209320799683,0.6536806566927049,0.6194392956441149,0.6599695485237654,0.614902426551855,0.6234060804011812,0.6293849351650508,0.01633769277561905,5,,
6,0.004414916038513184,0.0006787823864319451,0.011742043495178222,0.00016715353147482708,FunctionTransformer(),KNeighborsClassifier(),SimpleImputer(),MinMaxScaler(),FunctionTransformer(),"{'drop': FunctionTransformer(), 'model': KNeighborsClassifier(), 'replacement': SimpleImputer(), 'scaling': MinMaxScaler(), 'selection': FunctionTransformer()}",0.4391891891891892,0.4714285714285714,0.564625850340136,0.5263157894736842,0.6065573770491803,0.5064935064935064,0.553030303030303,0.5367647058823529,0.5474452554744526,0.515625,0.5267475548361376,0.04503851175725909,8,0.39156626506024095,0.39759036144578314,0.5,0.3614457831325301,0.4457831325301205,0.46987951807228917,0.4397590361445783,0.4397590361445783,0.4491017964071856,0.39520958083832336,0.42900945097756293,0.03965175674266993,5,0.41401273885350315,0.43137254901960786,0.5303514376996805,0.42857142857142855,0.513888888888889,0.4875,0.4899328859060403,0.4834437086092715,0.4934210526315789,0.44745762711864406,0.47199523172986435,0.03716545242225562,4,0.6528301886792452,0.6716981132075471,0.7226415094339622,0.6981132075471698,0.7358490566037735,0.690566037735849,0.7132075471698113,0.7056603773584905,0.7094339622641509,0.6924528301886792,0.6992452830188679,0.022941410043125523,8,0.5817721435191314,0.59714682907454,0.6620879120879121,0.6065470673904408,0.6569575003309943,0.6305441546405401,0.6388355620283331,0.6333410565338276,0.6391514491677802,0.612205341383349,0.6258589016156849,0.024556212682540893,8,,
7,0.00434563159942627,0.0005141626142361242,0.011866998672485352,0.002075209824098484,FunctionTransformer(),KNeighborsClassifier(),SimpleImputer(),StandardScaler(),FunctionTransformer(),"{'drop': FunctionTransformer(), 'model': KNeighborsClassifier(), 'replacement': SimpleImputer(), 'scaling': StandardScaler(), 'selection': FunctionTransformer()}",0.445859872611465,0.47297297297297297,0.593103448275862,0.532258064516129,0.5798319327731093,0.5176470588235295,0.5789473684210527,0.5147058823529411,0.5507246376811594,0.5114503816793893,0.529750162010761,0.04511910153623622,7,0.42168674698795183,0.42168674698795183,0.5180722891566265,0.39759036144578314,0.41566265060240964,0.5301204819277109,0.463855421686747,0.42168674698795183,0.4550898203592814,0.40119760479041916,0.44466488709328333,0.04438332040652877,2,0.43343653250773995,0.44585987261146504,0.5530546623794211,0.4551724137931034,0.48421052631578954,0.523809523809524,0.5150501672240803,0.46357615894039733,0.4983606557377049,0.4496644295302013,0.48221949428494265,0.037323526343498455,3,0.6547169811320754,0.6716981132075471,0.7377358490566037,0.7018867924528301,0.7226415094339622,0.6981132075471698,0.7264150943396226,0.6943396226415094,0.7113207547169811,0.690566037735849,0.7009433962264151,0.02394442955380589,7,0.5913378789884813,0.6037005163511188,0.6779921885343572,0.619124851052562,0.6391500066198862,0.6524228783264928,0.6550046339202966,0.6201840328346352,0.6421454611438281,0.6124445324227578,0.6313506980194415,0.02520614469841861,4,,
8,1.5892204999923707,0.21452176277083276,0.0042037487030029295,0.0005263548325610452,FunctionTransformer(),MLPClassifier(),SimpleImputer(),MinMaxScaler(),FunctionTransformer(),"{'drop': FunctionTransformer(), 'model': MLPClassifier(), 'replacement': SimpleImputer(), 'scaling': MinMaxScaler(), 'selection': FunctionTransformer()}",0.5354330708661418,0.6037735849056604,0.5942028985507246,0.6306306306306306,0.63,0.6666666666666666,0.6138613861386139,0.5579710144927537,0.5737704918032787,0.576271186440678,0.5982580930495148,0.03698471249947765,1,0.40963855421686746,0.3855421686746988,0.4939759036144578,0.42168674698795183,0.3795180722891566,0.4578313253012048,0.37349397590361444,0.463855421686747,0.41916167664670656,0.40718562874251496,0.421188947406392,0.03751914178197818,6,0.4641638225255973,0.47058823529411764,0.5394736842105263,0.5054151624548736,0.4736842105263158,0.5428571428571428,0.46441947565543074,0.506578947368421,0.4844290657439446,0.47719298245614034,0.492880272909251,0.027983923748560943,2,0.7037735849056603,0.7283018867924528,0.7358490566037735,0.7415094339622641,0.7358490566037735,0.7584905660377359,0.730188679245283,0.7169811320754716,0.7188679245283018,0.7188679245283018,0.7288679245283018,0.014518497059026915,2,0.6237753210644776,0.6350787766450416,0.670064874884152,0.6545246921752945,0.6389348603204025,0.6767178604528002,0.6331755593803787,0.6481365020521648,0.6379554939707361,0.6347222909552795,0.6453086231900728,0.016169888374888575,2,,
9,1.7971174478530885,0.2525476887679864,0.004152750968933106,0.000756376375420865,FunctionTransformer(),MLPClassifier(),SimpleImputer(),StandardScaler(),FunctionTransformer(),"{'drop': FunctionTransformer(), 'model': MLPClassifier(), 'replacement': SimpleImputer(), 'scaling': StandardScaler(), 'selection': FunctionTransformer()}",0.5277777777777778,0.6,0.5850340136054422,0.5895522388059702,0.6756756756756757,0.6428571428571429,0.6296296296296297,0.5476190476190477,0.5801526717557252,0.5602836879432624,0.5938581885669673,0.04281178687891067,2,0.4578313253012048,0.46987951807228917,0.5180722891566265,0.4759036144578313,0.45180722891566266,0.4879518072289157,0.5120481927710844,0.41566265060240964,0.4550898203592814,0.47305389221556887,0.47173003390808743,0.028406761003285562,1,0.4903225806451612,0.5270270270270271,0.549520766773163,0.5266666666666667,0.5415162454873645,0.5547945205479452,0.5647840531561462,0.4726027397260274,0.5100671140939598,0.5129870129870129,0.5250288727110475,0.027688835699888448,1,0.7018867924528301,0.7358490566037735,0.7339622641509433,0.7320754716981132,0.7603773584905661,0.7547169811320755,0.7528301886792453,0.7094339622641509,0.7245283018867924,0.7169811320754716,0.7322641509433961,0.018629627257354196,1,0.635509069244009,0.6635111876075732,0.6752449357871044,0.6624023566794651,0.676453065007282,0.682162716801271,0.6873427777042236,0.6295346220045016,0.651787334422065,0.6511274970719718,0.6615075562329467,0.01847000690786256,1,,
